User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.1057116716e+07 resonance
4 8.7328450047e+06 resonance
5 6.8971490341e+06 resonance
6 5.4473272768e+06 resonance
7 4.3022666777e+06 resonance
8 3.3979046284e+06 resonance
9 2.6836448618e+06 resonance
10 2.1195267472e+06 resonance
11 1.6739896161e+06 resonance
12 1.3221070405e+06 resonance
13 1.0441922755e+06 resonance
14 8.2469684742e+05 resonance
15 6.5134066407e+05 resonance
16 5.1442498174e+05 resonance
17 4.0628979033e+05 resonance
18 3.2088525943e+05 resonance
19 2.5343326899e+05 resonance
20 2.0016008821e+05 resonance
21 1.5808524694e+05 resonance
22 1.2485478760e+05 resonance
23 9.8609568503e+04 resonance
24 7.7881250587e+04 resonance
25 6.1510148408e+04 resonance
26 4.8580349296e+04 resonance
27 3.8368470876e+04 resonance
28 3.0303190048e+04 resonance
29 2.3933279230e+04 resonance
30 1.8902361560e+04 resonance
31 1.4928972712e+04 resonance
32 1.1790813837e+04 resonance
33 9.3123146267e+03 resonance
34 7.3548106944e+03 resonance
35 5.8087857336e+03 resonance
36 4.5877444166e+03 resonance
37 3.6233732483e+03 resonance
38 2.8617186365e+03 resonance
39 2.2601683551e+03 resonance
40 1.7850675214e+03 resonance
41 1.4098357093e+03 resonance
42 1.1134798562e+03 resonance
43 8.7941976650e+02 resonance
44 6.9456050002e+02 resonance
45 5.4855975106e+02 resonance
46 4.3324922807e+02 resonance
47 3.4217766299e+02 resonance
48 2.7024988265e+02 resonance
49 2.1344174964e+02 resonance
50 1.6857502412e+02 resonance
51 1.3313955122e+02 resonance
52 1.0515282552e+02 resonance
53 8.3049076058e+01 resonance
54 6.5591666222e+01 resonance
55 5.1803907785e+01 resonance
56 4.0914418194e+01 resonance
57 3.2313964095e+01 resonance
58 2.5521376610e+01 resonance
59 2.0156631423e+01 resonance
60 1.5919587589e+01 resonance
61 1.2573195574e+01 resonance
62 9.9302350679e+00 resonance
63 7.8428405828e+00 resonance
64 6.1942288362e+00 resonance
65 4.8921650862e+00 resonance
66 3.8638028822e+00 resonance
67 3.0516085310e+00 resonance
68 2.4101422642e+00 resonance
69 1.9035160226e+00 resonance
70 1.5033856309e+00 resonance
71 1.1873650278e+00 resonance
72 9.3777383547e-01 resonance
73 7.4064819656e-01 resonance
74 5.8495953962e-01 resonance
75 4.6199756454e-01 resonance
76 3.6488292810e-01 resonance
77 2.8818236597e-01 resonance
78 2.2760471828e-01 resonance
79 1.7976085251e-01 resonance
80 1.4197405194e-01 resonance
81 1.1213026163e-01 resonance
82 8.8559813589e-02 resonance
83 6.9944013941e-02 resonance
84 5.5241366122e-02 resonance
85 4.3629302339e-02 resonance
86 3.4458163442e-02 resonance
87 2.7214852499e-02 resonance
88 2.1494128606e-02 resonance
89 1.6975934907e-02 resonance
90 1.3407492402e-02 resonance
91 1.0589157740e-02 resonance
92 8.3632537891e-03 resonance
93 6.6052480907e-03 resonance
94 5.2167856482e-03 resonance
95 4.1201862709e-03 resonance
96 3.2540986063e-03 resonance
97 2.5700677210e-03 resonance
98 2.0298241971e-03 resonance
99 1.6031430757e-03 resonance
100 1.2661528643e-03 resonance
101 1.0000000000e-03 thermal
102 1.0000000000e-05 thermal
