User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.0415881617e+07 resonance
4 7.7493278472e+06 resonance
5 5.7654343906e+06 resonance
6 4.2894344345e+06 resonance
7 3.1913029481e+06 resonance
8 2.3743024080e+06 resonance
9 1.7664609146e+06 resonance
10 1.3142319834e+06 resonance
11 9.7777748262e+05 resonance
12 7.2745817906e+05 resonance
13 5.4122273389e+05 resonance
14 4.0266513747e+05 resonance
15 2.9957945738e+05 resonance
16 2.2288458307e+05 resonance
17 1.6582424511e+05 resonance
18 1.2337183616e+05 resonance
19 9.1787602881e+04 resonance
20 6.8289200395e+04 resonance
21 5.0806587645e+04 resonance
22 3.7799671591e+04 resonance
23 2.8122636033e+04 resonance
24 2.0923003406e+04 resonance
25 1.5566537610e+04 resonance
26 1.1581372353e+04 resonance
27 8.6164430992e+03 resonance
28 6.4105608058e+03 resonance
29 4.7694030323e+03 resonance
30 3.5483955263e+03 resonance
31 2.6399762666e+03 resonance
32 1.9641200189e+03 resonance
33 1.4612886856e+03 resonance
34 1.0871864256e+03 resonance
35 8.0885750745e+02 resonance
36 6.0178314591e+02 resonance
37 4.4772157192e+02 resonance
38 3.3310106361e+02 resonance
39 2.4782437465e+02 resonance
40 1.8437923915e+02 resonance
41 1.3717659483e+02 resonance
42 1.0205822660e+02 resonance
43 7.5930457595e+01 resonance
44 5.6491618388e+01 resonance
45 4.2029286392e+01 resonance
46 3.1269433679e+01 resonance
47 2.3264194245e+01 resonance
48 1.7308363798e+01 resonance
49 1.2877276308e+01 resonance
50 9.5805846837e+00 resonance
51 7.1278739920e+00 resonance
52 5.3030779773e+00 resonance
53 3.9454451727e+00 resonance
54 2.9353778461e+00 resonance
55 2.1838962961e+00 resonance
56 1.6248003775e+00 resonance
57 1.2088377416e+00 resonance
58 8.9936505795e-01 resonance
59 6.6911999815e-01 resonance
60 4.9781962059e-01 resonance
61 3.7037358820e-01 resonance
62 2.7555481777e-01 resonance
63 2.0501045435e-01 resonance
64 1.5252604448e-01 resonance
65 1.1347808735e-01 resonance
66 8.4426737423e-02 resonance
67 6.2812778737e-02 resonance
68 4.6732176240e-02 resonance
69 3.4768343959e-02 resonance
70 2.5867353907e-02 resonance
71 1.9245092574e-02 resonance
72 1.4318186140e-02 resonance
73 1.0652609415e-02 resonance
74 7.9254513270e-03 resonance
75 5.8964687703e-03 resonance
76 4.3869229050e-03 resonance
77 3.2638335458e-03 resonance
78 2.4282645594e-03 resonance
79 1.8066082989e-03 resonance
80 1.3441012979e-03 resonance
81 1.0000000000e-03 thermal
82 1.0000000000e-05 thermal
