User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.1030523316e+07 resonance
4 8.6908889012e+06 resonance
5 6.8475037613e+06 resonance
6 5.3951107067e+06 resonance
7 4.2507781743e+06 resonance
8 3.3491648401e+06 resonance
9 2.6387886326e+06 resonance
10 2.0790871098e+06 resonance
11 1.6381013457e+06 resonance
12 1.2906510777e+06 resonance
13 1.0168969146e+06 resonance
14 8.0120750901e+05 resonance
15 6.3126700778e+05 resonance
16 4.9737181769e+05 resonance
17 3.9187653083e+05 resonance
18 3.0875737215e+05 resonance
19 2.4326824232e+05 resonance
20 1.9166971563e+05 resonance
21 1.5101551908e+05 resonance
22 1.1898430030e+05 resonance
23 9.3747078479e+04 resonance
24 7.3862809639e+04 resonance
25 5.8196103134e+04 resonance
26 4.5852390893e+04 resonance
27 3.6126847630e+04 resonance
28 2.8464145365e+04 resonance
29 2.2426744222e+04 resonance
30 1.7669908931e+04 resonance
31 1.3922024461e+04 resonance
32 1.0969086815e+04 resonance
33 8.6424834191e+03 resonance
34 6.8093653471e+03 resonance
35 5.3650616590e+03 resonance
36 4.2271026942e+03 resonance
37 3.3305110590e+03 resonance
38 2.6240914207e+03 resonance
39 2.0675072570e+03 resonance
40 1.6289776431e+03 resonance
41 1.2834625624e+03 resonance
42 1.0112331228e+03 resonance
43 7.9674503846e+02 resonance
44 6.2775105167e+02 resonance
45 4.9460161513e+02 resonance
46 3.8969390341e+02 resonance
47 3.0703769196e+02 resonance
48 2.4191331571e+02 resonance
49 1.9060217638e+02 resonance
50 1.5017441076e+02 resonance
51 1.1832159566e+02 resonance
52 9.3224937121e+01 resonance
53 7.3451417322e+01 resonance
54 5.7871969382e+01 resonance
55 4.5597007685e+01 resonance
56 3.5925632599e+01 resonance
57 2.8305609144e+01 resonance
58 2.2301834402e+01 resonance
59 1.7571493168e+01 resonance
60 1.3844483220e+01 resonance
61 1.0907992497e+01 resonance
62 8.5943475400e+00 resonance
63 6.7714393516e+00 resonance
64 5.3351799749e+00 resonance
65 4.2035590790e+00 resonance
66 3.3119611736e+00 resonance
67 2.6094760675e+00 resonance
68 2.0559919003e+00 resonance
69 1.6199047567e+00 resonance
70 1.2763140848e+00 resonance
71 1.0056008765e+00 resonance
72 7.9230742245e-01 resonance
73 6.2425467832e-01 resonance
74 4.9184684172e-01 resonance
75 3.8752343253e-01 resonance
76 3.0532758985e-01 resonance
77 2.4056593562e-01 resonance
78 1.8954058299e-01 resonance
79 1.4933798714e-01 resonance
80 1.1766258207e-01 resonance
81 9.2705703924e-02 resonance
82 7.3042316330e-02 resonance
83 5.7549640951e-02 resonance
84 4.5343046880e-02 resonance
85 3.5725538272e-02 resonance
86 2.8147955920e-02 resonance
87 2.2177620290e-02 resonance
88 1.7473625550e-02 resonance
89 1.3767373860e-02 resonance
90 1.0847238454e-02 resonance
91 8.5464797625e-03 resonance
92 6.7337245919e-03 resonance
93 5.3054647223e-03 resonance
94 4.1801465943e-03 resonance
95 3.2935146051e-03 resonance
96 2.5949421173e-03 resonance
97 2.0445406805e-03 resonance
98 1.6108824033e-03 resonance
99 1.2692054220e-03 resonance
100 1.0000000000e-03 thermal
101 1.0000000000e-05 thermal
