User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 5.2889894516e+06 resonance
4 1.9981006728e+06 resonance
5 7.5485238440e+05 resonance
6 2.8517187847e+05 resonance
7 1.0773364694e+05 resonance
8 4.0700151588e+04 resonance
9 1.5375905173e+04 resonance
10 5.8087857336e+03 resonance
11 2.1944718908e+03 resonance
12 8.2903847731e+02 resonance
13 3.1319826867e+02 resonance
14 1.1832159566e+02 resonance
15 4.4700119382e+01 resonance
16 1.6887032850e+01 resonance
17 6.3796670436e+00 resonance
18 2.4101422642e+00 resonance
19 9.1051550086e-01 resonance
20 3.4397906283e-01 resonance
21 1.2995011677e-01 resonance
22 4.9093199775e-02 resonance
23 1.8546672554e-02 resonance
24 7.0066539643e-03 resonance
25 2.6470084934e-03 resonance
26 1.0000000000e-03 thermal
27 1.0000000000e-05 thermal
