User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.2746194272e+07 resonance
4 1.1604676316e+07 resonance
5 1.0565389913e+07 resonance
6 9.6191794568e+06 resonance
7 8.7577092925e+06 resonance
8 7.9733902872e+06 resonance
9 7.2593129720e+06 resonance
10 6.6091866731e+06 resonance
11 6.0172840940e+06 resonance
12 5.4783908609e+06 resonance
13 4.9877595865e+06 resonance
14 4.5410680480e+06 resonance
15 4.1343811102e+06 resonance
16 3.7641160590e+06 resonance
17 3.4270110393e+06 resonance
18 3.1200963200e+06 resonance
19 2.8406681316e+06 resonance
20 2.5862648477e+06 resonance
21 2.3546452991e+06 resonance
22 2.1437690303e+06 resonance
23 1.9517783239e+06 resonance
24 1.7769818352e+06 resonance
25 1.6178396921e+06 resonance
26 1.4729499298e+06 resonance
27 1.3410361398e+06 resonance
28 1.2209362260e+06 resonance
29 1.1115921665e+06 resonance
30 1.0120406932e+06 resonance
31 9.2140480623e+05 resonance
32 8.3888604739e+05 resonance
33 7.6375746659e+05 resonance
34 6.9535721756e+05 resonance
35 6.3308272740e+05 resonance
36 5.7638538812e+05 resonance
37 5.2476572376e+05 resonance
38 4.7776899017e+05 resonance
39 4.3498116899e+05 resonance
40 3.9602532033e+05 resonance
41 3.6055826212e+05 resonance
42 3.2826754681e+05 resonance
43 2.9886870892e+05 resonance
44 2.7210275898e+05 resonance
45 2.4773390200e+05 resonance
46 2.2554746019e+05 resonance
47 2.0534798179e+05 resonance
48 1.8695751924e+05 resonance
49 1.7021406149e+05 resonance
50 1.5497010683e+05 resonance
51 1.4109136343e+05 resonance
52 1.2845556631e+05 resonance
53 1.1695140025e+05 resonance
54 1.0647751914e+05 resonance
55 9.6941653187e+04 resonance
56 8.8259796042e+04 resonance
57 8.0355464769e+04 resonance
58 7.3159026055e+04 resonance
59 6.6607082775e+04 resonance
60 6.0641915496e+04 resonance
61 5.5210973996e+04 resonance
62 5.0266414322e+04 resonance
63 4.5764677308e+04 resonance
64 4.1666104840e+04 resonance
65 3.7934590490e+04 resonance
66 3.4537261430e+04 resonance
