User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.3201863913e+07 resonance
4 1.2449229342e+07 resonance
5 1.1739502257e+07 resonance
6 1.1070236515e+07 resonance
7 1.0439125425e+07 resonance
8 9.8439938028e+06 resonance
9 9.2827904677e+06 resonance
10 8.7535811778e+06 resonance
11 8.2545419617e+06 resonance
12 7.7839528318e+06 resonance
13 7.3401918566e+06 resonance
14 6.9217295706e+06 resonance
15 6.5271237026e+06 resonance
16 6.1550142048e+06 resonance
17 5.8041185654e+06 resonance
18 5.4732273884e+06 resonance
19 5.1612002248e+06 resonance
20 4.8669616427e+06 resonance
21 4.5894975199e+06 resonance
22 4.3278515491e+06 resonance
23 4.0811219420e+06 resonance
24 3.8484583209e+06 resonance
25 3.6290587877e+06 resonance
26 3.4221671606e+06 resonance
27 3.2270703674e+06 resonance
28 3.0430959878e+06 resonance
29 2.8696099361e+06 resonance
30 2.7060142758e+06 resonance
31 2.5517451583e+06 resonance
32 2.4062708801e+06 resonance
33 2.2690900498e+06 resonance
34 2.1397298603e+06 resonance
35 2.0177444591e+06 resonance
36 1.9027134115e+06 resonance
37 1.7942402518e+06 resonance
38 1.6919511165e+06 resonance
39 1.5954934563e+06 resonance
40 1.5045348203e+06 resonance
41 1.4187617108e+06 resonance
42 1.3378785022e+06 resonance
43 1.2616064228e+06 resonance
44 1.1896825933e+06 resonance
45 1.1218591212e+06 resonance
46 1.0579022462e+06 resonance
47 9.9759153490e+05 resonance
48 9.4071912034e+05 resonance
49 8.8708898624e+05 resonance
50 8.3651629109e+05 resonance
51 7.8882673116e+05 resonance
52 7.4385593971e+05 resonance
53 7.0144892051e+05 resonance
54 6.6145951363e+05 resonance
55 6.2374989165e+05 resonance
56 5.8819008467e+05 resonance
57 5.5465753236e+05 resonance
58 5.2303666148e+05 resonance
59 4.9321848761e+05 resonance
60 4.6510023949e+05 resonance
61 4.3858500485e+05 resonance
62 4.1358139631e+05 resonance
63 3.9000323651e+05 resonance
64 3.6776926101e+05 resonance
65 3.4680283824e+05 resonance
66 3.2703170537e+05 resonance
