User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.3463602046e+07 resonance
4 1.2947755718e+07 resonance
5 1.2451673599e+07 resonance
6 1.1974598439e+07 resonance
7 1.1515802003e+07 resonance
8 1.1074583958e+07 resonance
9 1.0650270803e+07 resonance
10 1.0242214841e+07 resonance
11 9.8497931919e+06 resonance
12 9.4724068409e+06 resonance
13 9.1094797232e+06 resonance
14 8.7604578458e+06 resonance
15 8.4248084413e+06 resonance
16 8.1020191549e+06 resonance
17 7.7915972623e+06 resonance
18 7.4930689174e+06 resonance
19 7.2059784291e+06 resonance
20 6.9298875659e+06 resonance
21 6.6643748866e+06 resonance
22 6.4090350971e+06 resonance
23 6.1634784319e+06 resonance
24 5.9273300591e+06 resonance
25 5.7002295080e+06 resonance
26 5.4818301191e+06 resonance
27 5.2717985149e+06 resonance
28 5.0698140909e+06 resonance
29 4.8755685262e+06 resonance
30 4.6887653133e+06 resonance
31 4.5091193047e+06 resonance
32 4.3363562784e+06 resonance
33 4.1702125187e+06 resonance
34 4.0104344143e+06 resonance
35 3.8567780705e+06 resonance
36 3.7090089372e+06 resonance
37 3.5669014512e+06 resonance
38 3.4302386912e+06 resonance
39 3.2988120472e+06 resonance
40 3.1724209021e+06 resonance
41 3.0508723249e+06 resonance
42 2.9339807768e+06 resonance
43 2.8215678279e+06 resonance
44 2.7134618844e+06 resonance
45 2.6094979270e+06 resonance
46 2.5095172593e+06 resonance
47 2.4133672648e+06 resonance
48 2.3209011746e+06 resonance
49 2.2319778431e+06 resonance
50 2.1464615325e+06 resonance
51 2.0642217058e+06 resonance
52 1.9851328273e+06 resonance
53 1.9090741711e+06 resonance
54 1.8359296368e+06 resonance
55 1.7655875725e+06 resonance
56 1.6979406039e+06 resonance
57 1.6328854706e+06 resonance
58 1.5703228688e+06 resonance
59 1.5101572992e+06 resonance
60 1.4522969217e+06 resonance
61 1.3966534148e+06 resonance
62 1.3431418409e+06 resonance
63 1.2916805170e+06 resonance
64 1.2421908894e+06 resonance
65 1.1945974143e+06 resonance
66 1.1488274422e+06 resonance
