User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 8.6908889012e+06 resonance
4 5.3951107067e+06 resonance
5 3.3491648401e+06 resonance
6 2.0790871098e+06 resonance
7 1.2906510777e+06 resonance
8 8.0120750901e+05 resonance
9 4.9737181769e+05 resonance
10 3.0875737215e+05 resonance
11 1.9166971563e+05 resonance
12 1.1898430030e+05 resonance
13 7.3862809639e+04 resonance
14 4.5852390893e+04 resonance
15 2.8464145365e+04 resonance
16 1.7669908931e+04 resonance
17 1.0969086815e+04 resonance
18 6.8093653471e+03 resonance
19 4.2271026942e+03 resonance
20 2.6240914207e+03 resonance
21 1.6289776431e+03 resonance
22 1.0112331228e+03 resonance
23 6.2775105167e+02 resonance
24 3.8969390341e+02 resonance
25 2.4191331571e+02 resonance
26 1.5017441076e+02 resonance
27 9.3224937121e+01 resonance
28 5.7871969382e+01 resonance
29 3.5925632599e+01 resonance
30 2.2301834402e+01 resonance
31 1.3844483220e+01 resonance
32 8.5943475400e+00 resonance
33 5.3351799749e+00 resonance
34 3.3119611736e+00 resonance
35 2.0559919003e+00 resonance
36 1.2763140848e+00 resonance
37 7.9230742245e-01 resonance
38 4.9184684172e-01 resonance
39 3.0532758985e-01 resonance
40 1.8954058299e-01 resonance
41 1.1766258207e-01 resonance
42 7.3042316330e-02 resonance
43 4.5343046880e-02 resonance
44 2.8147955920e-02 resonance
45 1.7473625550e-02 resonance
46 1.0847238454e-02 resonance
47 6.7337245919e-03 resonance
48 4.1801465943e-03 resonance
49 2.5949421173e-03 resonance
50 1.6108824033e-03 resonance
51 1.0000000000e-03 thermal
52 1.0000000000e-05 thermal
