User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.2086927292e+07 resonance
4 1.0435272241e+07 resonance
5 9.0093126324e+06 resonance
6 7.7782076245e+06 resonance
7 6.7153307160e+06 resonance
8 5.7976938649e+06 resonance
9 5.0054503007e+06 resonance
10 4.3214652750e+06 resonance
11 3.7309454697e+06 resonance
12 3.2211190446e+06 resonance
13 2.7809594066e+06 resonance
14 2.4009467251e+06 resonance
15 2.0728620357e+06 resonance
16 1.7896094795e+06 resonance
17 1.5450628329e+06 resonance
18 1.3339330088e+06 resonance
19 1.1516536636e+06 resonance
20 9.9428243558e+05 resonance
21 8.5841567908e+05 resonance
22 7.4111484998e+05 resonance
23 6.3984295051e+05 resonance
24 5.5240965867e+05 resonance
25 4.7692395572e+05 resonance
26 4.1175322691e+05 resonance
27 3.5548795115e+05 resonance
28 3.0691121564e+05 resonance
29 2.6497239633e+05 resonance
30 2.2876443493e+05 resonance
31 1.9750422086e+05 resonance
32 1.7051565411e+05 resonance
33 1.4721502239e+05 resonance
34 1.2709837657e+05 resonance
35 1.0973063119e+05 resonance
36 9.4736154350e+04 resonance
37 8.1790643543e+04 resonance
38 7.0614111551e+04 resonance
39 6.0964830867e+04 resonance
40 5.2634105578e+04 resonance
41 4.5441757659e+04 resonance
42 3.9232230062e+04 resonance
43 3.3871222306e+04 resonance
44 2.9242785808e+04 resonance
45 2.5246816135e+04 resonance
46 2.1796887928e+04 resonance
47 1.8818385685e+04 resonance
48 1.6246889967e+04 resonance
49 1.4026784126e+04 resonance
50 1.2110051420e+04 resonance
51 1.0455236501e+04 resonance
52 9.0265488154e+03 resonance
53 7.7930885167e+03 resonance
54 6.7281781632e+03 resonance
55 5.8087857336e+03 resonance
56 5.0150264871e+03 resonance
57 4.3297328942e+03 resonance
58 3.7380833349e+03 resonance
59 3.2272815344e+03 resonance
60 2.7862798042e+03 resonance
61 2.4055401007e+03 resonance
62 2.0768277355e+03 resonance
63 1.7930332741e+03 resonance
64 1.5480187727e+03 resonance
65 1.3364850252e+03 resonance
66 1.1538569519e+03 resonance
67 9.9618464885e+02 resonance
68 8.6005795861e+02 resonance
69 7.4253271521e+02 resonance
70 6.4106706722e+02 resonance
71 5.5346650222e+02 resonance
72 4.7783638366e+02 resonance
73 4.1254097335e+02 resonance
74 3.5616805358e+02 resonance
75 3.0749838339e+02 resonance
76 2.6547932876e+02 resonance
77 2.2920209603e+02 resonance
78 1.9788207643e+02 resonance
79 1.7084187645e+02 resonance
80 1.4749666708e+02 resonance
81 1.2734153506e+02 resonance
82 1.0994056254e+02 resonance
83 9.4917398997e+01 resonance
84 8.1947121462e+01 resonance
85 7.0749207068e+01 resonance
86 6.1081465845e+01 resonance
87 5.2734802613e+01 resonance
88 4.5528694641e+01 resonance
89 3.9307287274e+01 resonance
90 3.3936023097e+01 resonance
91 2.9298731697e+01 resonance
92 2.5295117128e+01 resonance
93 2.1838588684e+01 resonance
94 1.8854388114e+01 resonance
95 1.6277972734e+01 resonance
96 1.4053619493e+01 resonance
97 1.2133219787e+01 resonance
98 1.0475238956e+01 resonance
99 9.0438179738e+00 resonance
100 7.8079978783e+00 resonance
101 6.7410501896e+00 resonance
102 5.8198988226e+00 resonance
103 5.0246209942e+00 resonance
104 4.3380163307e+00 resonance
105 3.7452348559e+00 resonance
106 3.2334558140e+00 resonance
107 2.7916103805e+00 resonance
108 2.4101422642e+00 resonance
109 2.0808010223e+00 resonance
110 1.7964636190e+00 resonance
111 1.5509803676e+00 resonance
112 1.3390419240e+00 resonance
113 1.1560644555e+00 resonance
114 9.9809050133e-01 resonance
115 8.6170338006e-01 resonance
116 7.4395329304e-01 resonance
117 6.4229352585e-01 resonance
118 5.5452536767e-01 resonance
119 4.7875055721e-01 resonance
120 4.1333022687e-01 resonance
121 3.5684945714e-01 resonance
122 3.0808667449e-01 resonance
123 2.6598723102e-01 resonance
124 2.2964059444e-01 resonance
125 1.9826065488e-01 resonance
126 1.7116872289e-01 resonance
127 1.4777885060e-01 resonance
128 1.2758515875e-01 resonance
129 1.1015089553e-01 resonance
130 9.5098990393e-02 resonance
131 8.2103898748e-02 resonance
132 7.0884561043e-02 resonance
133 6.1198323963e-02 resonance
134 5.2835692297e-02 resonance
135 4.5615797946e-02 resonance
136 3.9382488083e-02 resonance
137 3.4000947861e-02 resonance
138 2.9354784620e-02 resonance
139 2.5343510527e-02 resonance
140 2.1880369220e-02 resonance
141 1.8890459421e-02 resonance
142 1.6309114968e-02 resonance
143 1.4080506201e-02 resonance
144 1.2156432478e-02 resonance
145 1.0495279679e-02 resonance
146 9.0611201707e-03 resonance
147 7.8229357637e-03 resonance
148 6.7539468421e-03 resonance
149 5.8310331727e-03 resonance
150 5.0342338570e-03 resonance
151 4.3463156145e-03 resonance
152 3.7524000588e-03 resonance
153 3.2396419059e-03 resonance
154 2.7969511550e-03 resonance
155 2.4147532323e-03 resonance
156 2.0847819105e-03 resonance
157 1.7999005267e-03 resonance
158 1.5539476285e-03 resonance
159 1.3416037145e-03 resonance
160 1.1582761823e-03 resonance
161 1.0000000000e-03 thermal
162 1.0000000000e-05 thermal
