User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 5.0698140909e+06 resonance
4 1.8359296368e+06 resonance
5 6.6484442448e+05 resonance
6 2.4075983082e+05 resonance
7 8.7186255914e+04 resonance
8 3.1572722054e+04 resonance
9 1.1433416511e+04 resonance
10 4.1403782954e+03 resonance
11 1.4993534445e+03 resonance
12 5.4296023002e+02 resonance
13 1.9662195892e+02 resonance
14 7.1202626994e+01 resonance
15 2.5784577260e+01 resonance
16 9.3373580800e+00 resonance
17 3.3813335404e+00 resonance
18 1.2244808878e+00 resonance
19 4.4342074706e-01 resonance
20 1.6057576797e-01 resonance
21 5.8149235080e-02 resonance
22 2.1057557956e-02 resonance
23 7.6255645745e-03 resonance
24 2.7614424808e-03 resonance
25 1.0000000000e-03 thermal
26 1.0000000000e-05 thermal
