User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.3676398647e+07 resonance
4 1.3360277139e+07 resonance
5 1.3051462585e+07 resonance
6 1.2749786089e+07 resonance
7 1.2455082658e+07 resonance
8 1.2167191115e+07 resonance
9 1.1885954008e+07 resonance
10 1.1611217522e+07 resonance
11 1.1342831401e+07 resonance
12 1.1080648859e+07 resonance
13 1.0824526504e+07 resonance
14 1.0574324260e+07 resonance
15 1.0329905286e+07 resonance
16 1.0091135905e+07 resonance
17 9.8578855315e+06 resonance
18 9.6300265962e+06 resonance
19 9.4074344793e+06 resonance
20 9.1899874418e+06 resonance
21 8.9775665582e+06 resonance
22 8.7700556522e+06 resonance
23 8.5673412325e+06 resonance
24 8.3693124315e+06 resonance
25 8.1758609439e+06 resonance
26 7.9868809680e+06 resonance
27 7.8022691475e+06 resonance
28 7.6219245152e+06 resonance
29 7.4457484376e+06 resonance
30 7.2736445613e+06 resonance
31 7.1055187598e+06 resonance
32 6.9412790824e+06 resonance
33 6.7808357036e+06 resonance
34 6.6241008745e+06 resonance
35 6.4709888741e+06 resonance
36 6.3214159630e+06 resonance
37 6.1753003374e+06 resonance
38 6.0325620843e+06 resonance
39 5.8931231377e+06 resonance
40 5.7569072362e+06 resonance
41 5.6238398812e+06 resonance
42 5.4938482959e+06 resonance
43 5.3668613857e+06 resonance
44 5.2428096996e+06 resonance
45 5.1216253916e+06 resonance
46 5.0032421840e+06 resonance
47 4.8875953312e+06 resonance
48 4.7746215839e+06 resonance
49 4.6642591550e+06 resonance
50 4.5564476855e+06 resonance
51 4.4511282115e+06 resonance
52 4.3482431321e+06 resonance
53 4.2477361778e+06 resonance
54 4.1495523796e+06 resonance
55 4.0536380393e+06 resonance
56 3.9599406997e+06 resonance
57 3.8684091163e+06 resonance
58 3.7789932289e+06 resonance
59 3.6916441345e+06 resonance
60 3.6063140604e+06 resonance
61 3.5229563383e+06 resonance
62 3.4415253785e+06 resonance
63 3.3619766450e+06 resonance
64 3.2842666314e+06 resonance
65 3.2083528367e+06 resonance
66 3.1341937425e+06 resonance
