User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 9.4223615314e+06 resonance
4 6.3414926306e+06 resonance
5 4.2679883010e+06 resonance
6 2.8724663417e+06 resonance
7 1.9332440256e+06 resonance
8 1.3011231527e+06 resonance
9 8.7568948151e+05 resonance
10 5.8936163457e+05 resonance
11 3.9665559955e+05 resonance
12 2.6695946160e+05 resonance
13 1.7967061153e+05 resonance
14 1.2092296131e+05 resonance
15 8.1384275638e+04 resonance
16 5.4773719145e+04 resonance
17 3.6864127443e+04 resonance
18 2.4810509736e+04 resonance
19 1.6698113751e+04 resonance
20 1.1238261761e+04 resonance
21 7.5636403782e+03 resonance
22 5.0905252955e+03 resonance
23 3.4260549799e+03 resonance
24 2.3058234748e+03 resonance
25 1.5518787434e+03 resonance
26 1.0444544695e+03 resonance
27 7.0294482961e+02 resonance
28 4.7310002294e+02 resonance
29 3.1840853262e+02 resonance
30 2.1429716493e+02 resonance
31 1.4422752594e+02 resonance
32 9.7068849439e+01 resonance
33 6.5329842346e+01 resonance
34 4.3968670955e+01 resonance
35 2.9592050985e+01 resonance
36 1.9916214488e+01 resonance
37 1.3404126660e+01 resonance
38 9.0213233862e+00 resonance
39 6.0715836026e+00 resonance
40 4.0863325551e+00 resonance
41 2.7502073337e+00 resonance
42 1.8509605560e+00 resonance
43 1.2457442528e+00 resonance
44 8.3841805181e-01 resonance
45 5.6427699990e-01 resonance
46 3.7977299264e-01 resonance
47 2.5559703118e-01 resonance
48 1.7202340243e-01 resonance
49 1.1577619211e-01 resonance
50 7.7920367059e-02 resonance
51 5.2442419220e-02 resonance
52 3.5295102391e-02 resonance
53 2.3754515358e-02 resonance
54 1.5987402265e-02 resonance
55 1.0759934578e-02 resonance
56 7.2417138317e-03 resonance
57 4.8738604164e-03 resonance
58 3.2802339212e-03 resonance
59 2.2076821366e-03 resonance
60 1.4858270884e-03 resonance
61 1.0000000000e-03 thermal
62 1.0000000000e-05 thermal
