User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.2441850104e+07 resonance
4 1.1057116716e+07 resonance
5 9.8264991974e+06 resonance
6 8.7328450047e+06 resonance
7 7.7609106095e+06 resonance
8 6.8971490341e+06 resonance
9 6.1295210307e+06 resonance
10 5.4473272768e+06 resonance
11 4.8410592463e+06 resonance
12 4.3022666777e+06 resonance
13 3.8234397938e+06 resonance
14 3.3979046284e+06 resonance
15 3.0197300040e+06 resonance
16 2.6836448618e+06 resonance
17 2.3849647932e+06 resonance
18 2.1195267472e+06 resonance
19 1.8836310058e+06 resonance
20 1.6739896161e+06 resonance
21 1.4876805629e+06 resonance
22 1.3221070405e+06 resonance
23 1.1749612585e+06 resonance
24 1.0441922755e+06 resonance
25 9.2797741228e+05 resonance
26 8.2469684742e+05 resonance
27 7.3291103980e+05 resonance
28 6.5134066407e+05 resonance
29 5.7884877924e+05 resonance
30 5.1442498174e+05 resonance
31 4.5717132234e+05 resonance
32 4.0628979033e+05 resonance
33 3.6107119073e+05 resonance
34 3.2088525943e+05 resonance
35 2.8517187847e+05 resonance
36 2.5343326899e+05 resonance
37 2.2522705316e+05 resonance
38 2.0016008821e+05 resonance
39 1.7788298674e+05 resonance
40 1.5808524694e+05 resonance
41 1.4049092472e+05 resonance
42 1.2485478760e+05 resonance
43 1.1095889658e+05 resonance
44 9.8609568503e+04 resonance
45 8.7634676441e+04 resonance
46 7.7881250587e+04 resonance
47 6.9213346125e+04 resonance
48 6.1510148408e+04 resonance
49 5.4664289028e+04 resonance
50 4.8580349296e+04 resonance
51 4.3173530283e+04 resonance
52 3.8368470876e+04 resonance
53 3.4098197384e+04 resonance
54 3.0303190048e+04 resonance
55 2.6930553448e+04 resonance
56 2.3933279230e+04 resonance
57 2.1269590906e+04 resonance
58 1.8902361560e+04 resonance
59 1.6798596368e+04 resonance
60 1.4928972712e+04 resonance
61 1.3267431478e+04 resonance
62 1.1790813837e+04 resonance
63 1.0478538455e+04 resonance
64 9.3123146267e+03 resonance
65 8.2758873365e+03 resonance
66 7.3548106944e+03 resonance
