User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.2741372981e+07 resonance
4 1.1595898959e+07 resonance
5 1.0553405263e+07 resonance
6 9.6046337627e+06 resonance
7 8.7411586510e+06 resonance
8 7.9553116183e+06 resonance
9 7.2401137504e+06 resonance
10 6.5892135512e+06 resonance
11 5.9968305361e+06 resonance
12 5.4577038973e+06 resonance
13 4.9670457838e+06 resonance
14 4.5204987817e+06 resonance
15 4.1140972169e+06 resonance
16 3.7442319371e+06 resonance
17 3.4076182597e+06 resonance
18 3.1012668016e+06 resonance
19 2.8224569309e+06 resonance
20 2.5687126056e+06 resonance
21 2.3377803849e+06 resonance
22 2.1276094164e+06 resonance
23 1.9363332237e+06 resonance
24 1.7622531299e+06 resonance
25 1.6038231724e+06 resonance
26 1.4596363739e+06 resonance
27 1.3284122469e+06 resonance
28 1.2089854221e+06 resonance
29 1.1002952994e+06 resonance
30 1.0013766285e+06 resonance
31 9.1135093695e+05 resonance
32 8.2941872886e+05 resonance
33 7.5485238440e+05 resonance
34 6.8698969821e+05 resonance
35 6.2522799848e+05 resonance
36 5.6901879476e+05 resonance
37 5.1786290693e+05 resonance
38 4.7130603215e+05 resonance
39 4.2893471026e+05 resonance
40 3.9037265199e+05 resonance
41 3.5527739717e+05 resonance
42 3.2333727350e+05 resonance
43 2.9426862858e+05 resonance
44 2.6781331095e+05 resonance
45 2.4373637743e+05 resonance
46 2.2182400670e+05 resonance
47 2.0188160039e+05 resonance
48 1.8373205489e+05 resonance
49 1.6721418856e+05 resonance
50 1.5218131029e+05 resonance
51 1.3849991680e+05 resonance
52 1.2604850698e+05 resonance
53 1.1471650293e+05 resonance
54 1.0440326792e+05 resonance
55 9.5017212643e+04 resonance
56 8.6474981848e+04 resonance
57 7.8700714087e+04 resonance
58 7.1625368002e+04 resonance
59 6.5186109185e+04 resonance
60 5.9325752163e+04 resonance
61 5.3992252548e+04 resonance
62 4.9138244842e+04 resonance
63 4.4720621796e+04 resonance
64 4.0700151588e+04 resonance
65 3.7041129411e+04 resonance
66 3.3711060389e+04 resonance
