User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.1504465751e+07 resonance
4 9.4537665875e+06 resonance
5 7.7686095663e+06 resonance
6 6.3838359065e+06 resonance
7 5.2459015392e+06 resonance
8 4.3108067566e+06 resonance
9 3.5423949066e+06 resonance
10 2.9109543487e+06 resonance
11 2.3920696149e+06 resonance
12 1.9656773542e+06 resonance
13 1.6152905571e+06 resonance
14 1.3273610638e+06 resonance
15 1.0907557070e+06 resonance
16 8.9632583389e+05 resonance
17 7.3655356129e+05 resonance
18 6.0526108714e+05 resonance
19 4.9737181769e+05 resonance
20 4.0871407445e+05 resonance
21 3.3585979083e+05 resonance
22 2.7599196149e+05 resonance
23 2.2679571919e+05 resonance
24 1.8636882743e+05 resonance
25 1.5314812802e+05 resonance
26 1.2584909955e+05 resonance
27 1.0341618969e+05 resonance
28 8.4982000885e+04 resonance
29 6.9833751333e+04 resonance
30 5.7385714322e+04 resonance
31 4.7156570359e+04 resonance
32 3.8750796332e+04 resonance
33 3.1843372089e+04 resonance
34 2.6167213115e+04 resonance
35 2.1502843363e+04 resonance
36 1.7669908931e+04 resonance
37 1.4520204438e+04 resonance
38 1.1931942475e+04 resonance
39 9.8050445397e+03 resonance
40 8.0572713641e+03 resonance
41 6.6210430327e+03 resonance
42 5.4408259149e+03 resonance
43 4.4709853855e+03 resonance
44 3.6740213031e+03 resonance
45 3.0191180179e+03 resonance
46 2.4809528455e+03 resonance
47 2.0387169315e+03 resonance
48 1.6753106511e+03 resonance
49 1.3766824292e+03 resonance
50 1.1312854184e+03 resonance
51 9.2963102506e+02 resonance
52 7.6392202066e+02 resonance
53 6.2775105167e+02 resonance
54 5.1585289103e+02 resonance
55 4.2390085125e+02 resonance
56 3.4833948752e+02 resonance
57 2.8624712171e+02 resonance
58 2.3522287201e+02 resonance
59 1.9329381965e+02 resonance
60 1.5883872343e+02 resonance
61 1.3052533241e+02 resonance
62 1.0725887260e+02 resonance
63 8.8139716169e+01 resonance
64 7.2428596143e+01 resonance
65 5.9518021696e+01 resonance
66 4.8908788728e+01 resonance
67 4.0190677490e+01 resonance
68 3.3026590908e+01 resonance
69 2.7139520285e+01 resonance
70 2.2301834402e+01 resonance
71 1.8326477862e+01 resonance
72 1.5059738351e+01 resonance
73 1.2375303149e+01 resonance
74 1.0169375088e+01 resonance
75 8.3566591012e+00 resonance
76 6.8670641732e+00 resonance
77 5.6429931853e+00 resonance
78 4.6371158454e+00 resonance
79 3.8105386020e+00 resonance
80 3.1313007744e+00 resonance
81 2.5731387512e+00 resonance
82 2.1144704740e+00 resonance
83 1.7375609393e+00 resonance
84 1.4278364513e+00 resonance
85 1.1733211109e+00 resonance
86 9.6417375252e-01 resonance
87 7.9230742245e-01 resonance
88 6.5107668615e-01 resonance
89 5.3502067410e-01 resonance
90 4.3965193011e-01 resonance
91 3.6128289803e-01 resonance
92 2.9688333764e-01 resonance
93 2.4396315643e-01 resonance
94 2.0047612698e-01 resonance
95 1.6474076692e-01 resonance
96 1.3537532221e-01 resonance
97 1.1124433985e-01 resonance
98 9.1414764131e-02 resonance
99 7.5119858794e-02 resonance
100 6.1729560196e-02 resonance
101 5.0726115081e-02 resonance
102 4.1684060975e-02 resonance
103 3.4253775133e-02 resonance
104 2.8147955920e-02 resonance
105 2.3130513918e-02 resonance
106 1.9007443227e-02 resonance
107 1.5619319973e-02 resonance
108 1.2835137978e-02 resonance
109 1.0547243235e-02 resonance
110 8.6671713260e-03 resonance
111 7.1222268344e-03 resonance
112 5.8526724779e-03 resonance
113 4.8094192911e-03 resonance
114 3.9521285371e-03 resonance
115 3.2476519571e-03 resonance
116 2.6687500509e-03 resonance
117 2.1930388257e-03 resonance
118 1.8021242901e-03 resonance
119 1.4808912268e-03 resonance
120 1.2169187429e-03 resonance
121 1.0000000000e-03 thermal
122 1.0000000000e-05 thermal
