User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 8.6049899664e+06 resonance
4 5.2889894516e+06 resonance
5 3.2508357974e+06 resonance
6 1.9981006728e+06 resonance
7 1.2281168744e+06 resonance
8 7.5485238440e+05 resonance
9 4.6396408528e+05 resonance
10 2.8517187847e+05 resonance
11 1.7527865378e+05 resonance
12 1.0773364694e+05 resonance
13 6.6217639353e+04 resonance
14 4.0700151588e+04 resonance
15 2.5016028289e+04 resonance
16 1.5375905173e+04 resonance
17 9.4506792672e+03 resonance
18 5.8087857336e+03 resonance
19 3.5703244967e+03 resonance
20 2.1944718908e+03 resonance
21 1.3488149001e+03 resonance
22 8.2903847731e+02 resonance
23 5.0956198421e+02 resonance
24 3.1319826867e+02 resonance
25 1.9250485425e+02 resonance
26 1.1832159566e+02 resonance
27 7.2725438820e+01 resonance
28 4.4700119382e+01 resonance
29 2.7474577056e+01 resonance
30 1.6887032850e+01 resonance
31 1.0379482017e+01 resonance
32 6.3796670436e+00 resonance
33 3.9212122071e+00 resonance
34 2.4101422642e+00 resonance
35 1.4813750001e+00 resonance
36 9.1051550086e-01 resonance
37 5.5964119637e-01 resonance
38 3.4397906283e-01 resonance
39 2.1142402745e-01 resonance
40 1.2995011677e-01 resonance
41 7.9872817927e-02 resonance
42 4.9093199775e-02 resonance
43 3.0174749392e-02 resonance
44 1.8546672554e-02 resonance
45 1.1399566517e-02 resonance
46 7.0066539643e-03 resonance
47 4.3065847901e-03 resonance
48 2.6470084934e-03 resonance
49 1.6269629662e-03 resonance
50 1.0000000000e-03 thermal
51 1.0000000000e-05 thermal
