User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.3539169822e+07 resonance
4 1.3093508533e+07 resonance
5 1.2662516828e+07 resonance
6 1.2245711836e+07 resonance
7 1.1842626581e+07 resonance
8 1.1452809458e+07 resonance
9 1.1075823728e+07 resonance
10 1.0711247026e+07 resonance
11 1.0358670892e+07 resonance
12 1.0017700310e+07 resonance
13 9.6879532656e+06 resonance
14 9.3690603206e+06 resonance
15 9.0606641964e+06 resonance
16 8.7624193752e+06 resonance
17 8.4739917122e+06 resonance
18 8.1950580614e+06 resonance
19 7.9253059137e+06 resonance
20 7.6644330468e+06 resonance
21 7.4121471862e+06 resonance
22 7.1681656784e+06 resonance
23 6.9322151736e+06 resonance
24 6.7040313197e+06 resonance
25 6.4833584663e+06 resonance
26 6.2699493779e+06 resonance
27 6.0635649572e+06 resonance
28 5.8639739772e+06 resonance
29 5.6709528219e+06 resonance
30 5.4842852362e+06 resonance
31 5.3037620832e+06 resonance
32 5.1291811099e+06 resonance
33 4.9603467209e+06 resonance
34 4.7970697592e+06 resonance
35 4.6391672940e+06 resonance
36 4.4864624161e+06 resonance
37 4.3387840393e+06 resonance
38 4.1959667092e+06 resonance
39 4.0578504173e+06 resonance
40 3.9242804222e+06 resonance
41 3.7951070760e+06 resonance
42 3.6701856567e+06 resonance
43 3.5493762059e+06 resonance
44 3.4325433724e+06 resonance
45 3.3195562599e+06 resonance
46 3.2102882811e+06 resonance
47 3.1046170154e+06 resonance
48 3.0024240716e+06 resonance
49 2.9035949559e+06 resonance
50 2.8080189429e+06 resonance
51 2.7155889522e+06 resonance
52 2.6262014279e+06 resonance
53 2.5397562227e+06 resonance
54 2.4561564861e+06 resonance
55 2.3753085553e+06 resonance
56 2.2971218506e+06 resonance
57 2.2215087741e+06 resonance
58 2.1483846109e+06 resonance
59 2.0776674349e+06 resonance
60 2.0092780168e+06 resonance
61 1.9431397349e+06 resonance
62 1.8791784898e+06 resonance
63 1.8173226214e+06 resonance
64 1.7575028280e+06 resonance
65 1.6996520893e+06 resonance
66 1.6437055911e+06 resonance
