User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.1595898959e+07 resonance
4 9.6046337627e+06 resonance
5 7.9553116183e+06 resonance
6 6.5892135512e+06 resonance
7 5.4577038973e+06 resonance
8 4.5204987817e+06 resonance
9 3.7442319371e+06 resonance
10 3.1012668016e+06 resonance
11 2.5687126056e+06 resonance
12 2.1276094164e+06 resonance
13 1.7622531299e+06 resonance
14 1.4596363739e+06 resonance
15 1.2089854221e+06 resonance
16 1.0013766285e+06 resonance
17 8.2941872886e+05 resonance
18 6.8698969821e+05 resonance
19 5.6901879476e+05 resonance
20 4.7130603215e+05 resonance
21 3.9037265199e+05 resonance
22 3.2333727350e+05 resonance
23 2.6781331095e+05 resonance
24 2.2182400670e+05 resonance
25 1.8373205489e+05 resonance
26 1.5218131029e+05 resonance
27 1.2604850698e+05 resonance
28 1.0440326792e+05 resonance
29 8.6474981848e+04 resonance
30 7.1625368002e+04 resonance
31 5.9325752163e+04 resonance
32 4.9138244842e+04 resonance
33 4.0700151588e+04 resonance
34 3.3711060389e+04 resonance
35 2.7922146435e+04 resonance
36 2.3127313485e+04 resonance
37 1.9155856455e+04 resonance
38 1.5866383996e+04 resonance
39 1.3141784690e+04 resonance
40 1.0885057673e+04 resonance
41 9.0158592101e+03 resonance
42 7.4676423166e+03 resonance
43 6.1852875549e+03 resonance
44 5.1231406802e+03 resonance
45 4.2433872630e+03 resonance
46 3.5147064249e+03 resonance
47 2.9111557553e+03 resonance
48 2.4112477139e+03 resonance
49 1.9971846326e+03 resonance
50 1.6542250859e+03 resonance
51 1.3701590681e+03 resonance
52 1.1348732937e+03 resonance
53 9.3999114609e+02 resonance
54 7.7857445378e+02 resonance
55 6.4487647846e+02 resonance
56 5.3413732040e+02 resonance
57 4.4241445699e+02 resonance
58 3.6644238153e+02 resonance
59 3.0351634505e+02 resonance
60 2.5139606213e+02 resonance
61 2.0822595252e+02 resonance
62 1.7246907901e+02 resonance
63 1.4285242956e+02 resonance
64 1.1832159566e+02 resonance
65 9.8003233430e+01 resonance
66 8.1173970897e+01 resonance
67 6.7234654619e+01 resonance
68 5.5689018681e+01 resonance
69 4.6126016698e+01 resonance
70 3.8205187788e+01 resonance
71 3.1644535523e+01 resonance
72 2.6210488325e+01 resonance
73 2.1709583878e+01 resonance
74 1.7981581507e+01 resonance
75 1.4893757306e+01 resonance
76 1.2336178918e+01 resonance
77 1.0217791734e+01 resonance
78 8.4631771813e+00 resonance
79 7.0098676765e+00 resonance
80 5.8061226640e+00 resonance
81 4.8090865541e+00 resonance
82 3.9832629835e+00 resonance
83 3.2992510775e+00 resonance
84 2.7326987241e+00 resonance
85 2.2634355922e+00 resonance
86 1.8747550306e+00 resonance
87 1.5528192792e+00 resonance
88 1.2861668189e+00 resonance
89 1.0653043198e+00 resonance
90 8.8236866092e-01 resonance
91 7.3084698836e-01 resonance
92 6.0534484513e-01 resonance
93 5.0139411856e-01 resonance
94 4.1529396698e-01 resonance
95 3.4397906283e-01 resonance
96 2.8491046119e-01 resonance
97 2.3598520861e-01 resonance
98 1.9546147392e-01 resonance
99 1.6189653586e-01 resonance
100 1.3409541941e-01 resonance
101 1.1106835246e-01 resonance
102 9.1995528051e-02 resonance
103 7.6197917714e-02 resonance
104 6.3113096767e-02 resonance
105 5.2275220938e-02 resonance
106 4.3298441434e-02 resonance
107 3.5863167998e-02 resonance
108 2.9704690891e-02 resonance
109 2.4603756728e-02 resonance
110 2.0378762646e-02 resonance
111 1.6879290897e-02 resonance
112 1.3980753697e-02 resonance
113 1.1579957660e-02 resonance
114 9.5914299273e-03 resonance
115 7.9443751653e-03 resonance
116 6.5801551223e-03 resonance
117 5.4502009955e-03 resonance
118 4.5142842894e-03 resonance
119 3.7390846068e-03 resonance
120 3.0970033786e-03 resonance
121 2.5651813040e-03 resonance
122 2.1246845153e-03 resonance
123 1.7598304971e-03 resonance
124 1.4576297593e-03 resonance
125 1.2073233864e-03 resonance
126 1.0000000000e-03 thermal
127 1.0000000000e-05 thermal
