User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 7.6907891787e+06 resonance
4 4.2248741565e+06 resonance
5 2.3209011746e+06 resonance
6 1.2749686884e+06 resonance
7 7.0039395659e+05 resonance
8 3.8475587587e+05 resonance
9 2.1136259475e+05 resonance
10 1.1611036832e+05 resonance
11 6.3784311730e+04 resonance
12 3.5039406745e+04 resonance
13 1.9248620730e+04 resonance
14 1.0574077430e+04 resonance
15 5.8087857336e+03 resonance
16 3.1910104615e+03 resonance
17 1.7529563376e+03 resonance
18 9.6297268799e+02 resonance
19 5.2900142344e+02 resonance
20 2.9060274449e+02 resonance
21 1.5964031733e+02 resonance
22 8.7697144644e+01 resonance
23 4.8175732216e+01 resonance
24 2.6464957143e+01 resonance
25 1.4538314715e+01 resonance
26 7.9865081062e+00 resonance
27 4.3873250085e+00 resonance
28 2.4101422642e+00 resonance
29 1.3239925746e+00 resonance
30 7.2732484038e-01 resonance
31 3.9955014370e-01 resonance
32 2.1948970868e-01 resonance
33 1.2057493402e-01 resonance
34 6.6236885558e-02 resonance
35 3.6386708763e-02 resonance
36 1.9988750429e-02 resonance
37 1.0980661821e-02 resonance
38 6.0321396505e-03 resonance
39 3.3137081677e-03 resonance
40 1.8203593513e-03 resonance
41 1.0000000000e-03 thermal
42 1.0000000000e-05 thermal
